seek time,R,L
1642570457,0,0
1642570457,0,30
1642570457,0.0,0.0
1642062960,21,15
1642062960,21,15
1642074120,3,1
1642060020,9,14
1642060320,11,10
1642073820,17,7
1642073520,22,5
1642060620,10,12
1642060920,15,10
1642061220,15,22
1642061520,9,10
1642061820,12,7
1642062120,13,14
1642062420,18,14
1642062720,21,15
1642063020,14,8
1642063320,5,11
1642063620,20,13
1642063920,21,26
1642064220,17,9
1642064520,28,12
1642064820,15,13
1642065120,24,24
1642065420,18,11
1642065720,11,11
1642066020,6,13
1642066320,13,4
1642066620,10,0
1642066920,15,7
1642067220,13,3
1642067520,15,5
1642067820,33,9
1642068120,31,10
1642068420,34,5
1642068720,26,3
1642069020,21,14
1642069320,17,4
1642069620,15,10
1642069920,26,19
1642070220,15,12
1642070520,16,14
1642070820,6,5
1642071120,14,9
1642071420,27,9
1642071720,40,5
1642072020,25,6
1642072320,17,5
1642072620,13,3
1642072920,18,4
1642073220,28,6
1642074300,15,5
1642074600,9,3
1642074900,9,8
1642075200,17,4
1642075500,18,4
1642075800,4,4
1642076100,15,2
1642076400,8,8
1642076700,2,5
1642077000,10,2
1642077300,10,2
1642077600,0,1
1642077900,3,3
1642078200,1,4
1642078500,4,2
1642041600,2,11
1642041900,2,14
1642042200,2,12
1642042500,2,24
1642042800,2,30
1642043100,2,17
1642043400,9,21
1642043700,1,16
1642044000,4,31
1642044300,3,27
1642044600,5,38
1642044900,2,26
1642045200,2,17
1642045500,7,25
1642045800,7,30
1642046100,3,29
1642046400,1,25
1642046700,15,44
1642047000,6,38
1642047300,7,41
1642047600,5,43
1642047900,3,33
1642048200,3,39
1642048500,11,27
1642048800,4,21
1642049100,6,31
1642049400,7,26
1642049700,7,8
1642050000,9,13
1642050300,11,6
1642050600,2,15
1642050900,3,28
1642051200,5,9
1642051500,3,12
1642051800,7,13
1642052100,6,13
1642052400,5,17
1642052700,12,19
1642053000,10,17
1642053300,8,12
1642053600,5,28
1642053900,11,7
1642054200,12,19
1642054500,18,22
1642054800,8,39
1642055100,7,26
1642055400,26,25
1642055700,2,2
1642055760,8,17
1642056060,21,9
1642056360,14,23
1642056660,11,10
1642056960,7,15
1642057260,11,9
1642057560,15,11
1642057860,10,13
1642058160,16,14
1642058460,20,28
1642058760,19,12
1642059060,10,22
1642059360,35,28
1642059660,31,16
1642059960,27,19
1642060260,32,38
1642060560,26,20
1642060860,17,19
1642061160,21,17
1642061460,26,28
1642061760,31,18
1642062060,13,33
1642062360,11,11
1642062660,8,28
1642062960,6,29
1642063260,11,26
1642063560,12,20
1642063860,20,28
1642064160,13,34
1642064460,9,11
1642064760,12,28
1642065060,13,30
1642065360,11,15
1642065660,10,19
1642065960,12,13
1642066260,8,17
1642066560,3,15
1642066860,13,4
1642067160,9,15
1642067460,7,5
1642067760,6,7
1642068060,0,0
1642068360,0,0
1642068660,0,0
1642068960,0,0
1642069260,0,0
1642069560,0,0
1642069860,0,0
